autor_nombre_alejandria	id_alejandria	phonetic_code	normalized_name_alejandria	name_cdl	summary_cdl	image_url_cdl	id_cdl	normalized_name_cdl	tokens_cdl	key_ol	birth_date_ol	death_date_ol	name_ol	bio_ol	alternate_names_ol	picture_ol	normalized_name_ol	tokens_ol	priority_score
MASSIMO PIGLIUCCI	{'9788408242604'}	MSMPKLX	massimo pigliucci	Massimo Pigliucci	Massimo Pigliucci es profesor de Filosofía en el City College de Nueva York. Tiene doctorados en genética, biología evolutiva y filosofía, y ha escrito para muchas publicaciones, entre ellas el New York Times y el Washington Post.	/mnt/datadrive/CasaDelLibro/author_images/MassimoPigliucci.webp	20100498.0	massimo pigliucci	massimo pigliucci	OL10384223A			Massimo Pigliucci		Massimo Pigliucci	/mnt/datadrive/OpenLibrary/author_images/OL10384223A.jpg	massimo pigliucci	massimo pigliucci	5
ALEX MIREZ	{'9789801826255'}	ALKSMRS	alex mirez	Alex Mírez	Alex Mírez, venezolana de veinticinco años que un día descubrió Wattpad y a partir de ahí no paró de escribir historias. Admite que su vida dio un giro inesperado por todos los lectores que ha reunido en la plataforma. Está graduada en Servicios Turísticos, pero actualmente se dedica a la escritura, luchar contra una oleada de ideas y leer todos los libros posibles. Es cinéfila, gamer y defiende que todos en la vida cometemos que errores que vale la pena contar para no volver a repetir.	/mnt/datadrive/CasaDelLibro/author_images/20108635.webp	20108635.0	alex mirez	alex mirez	OL10409675A			Alex Mírez		Alex Mírez	/mnt/datadrive/OpenLibrary/author_images/OL10409675A.jpg	alex mirez	alex mirez	5
URI EISENZWEIG	{'9789681669775'}	ASNSKR	uri eisenzweig	URI EISENZWEIG			108251.0	uri eisenzweig	eisenzweig uri	OL1041460A			Uri Eisenzweig		Uri Eisenzweig	/mnt/datadrive/OpenLibrary/author_images/OL1041460A.jpg	uri eisenzweig	eisenzweig uri	3
HEF BUTHE	{'9788496626461'}	P0F	hef buthe	HEF BUTHE			122080.0	hef buthe	buthe hef	OL10431530A	1946		Hef Buthe		Hef Buthe	/mnt/datadrive/OpenLibrary/author_images/OL10431530A.jpg	hef buthe	buthe hef	3
MAITE ISSA	{'9788425362378'}	ASMT	maite issa	Maïté Issa	"MAÏTÉ ISSA es coach experta en manifestación y creadora de la mayor comunidad en España sobre este tema, con cientos de miles de mujeres en las redes y un mantra común: «Tu éxito es inevitable». Su pódcast Tu éxito es inevitable es número uno sobre manifestación en habla hispana.

Ha creado un emprendimiento de siete cifras, partiendo de cero, en tan solo dos años, y ayuda a miles de mujeres en más de veinticinco países a manifestar lo que antes creían imposible. Ha colaborado en medios como Vogue, ¡Hola!, Mujer Hoy y en Televisión Española, entre otros.

También ha desarrollado online la comunidad Manifestadoras Expertas y los programas Manifiéstalo y Eres un imán para el dinero, que cuentan con miles de alumnas. En estos programas enseña paso a paso, de manera simple, las claves de la manifestación para que cada mujer pueda crear su realidad uniendo el poder de su mente subconsciente y las leyes del Universo."	/mnt/datadrive/CasaDelLibro/author_images/20115549.webp	20115549.0	maite issa	issa maite	OL10466683A			Maïté Issa		Maïté Issa	/mnt/datadrive/OpenLibrary/author_images/OL10466683A.jpg	maite issa	issa maite	5
ARUNDHATI ROY	{'9788433966711', '9788433905703'}	ARNTTR	arundhati roy	Arundhati Roy	Kerala, (1960-  ). Arundhati Roy cursó estudios de arquitectura en la Universidad de Delhi. Pronto empezó a concretar su vocación literaria, realizando guiones para películas y series de televisión. En la actualidad vive en Nueva Delhi. Su primera novela, El dios de las pepueñas cosas, galardonada con el prestigioso premio Booker de 1997, ha sido ya traducida a dieciséis idiomas, y ha obtenido el reconocimiento de la crítica y el aplauso del gran público en los numerosos países donde se ha publicado. Gracias a esta obra, escrita en inglés, acabada y madura, culminación sin duda de largos años de oficio en la sombra, Arundhati Roy se ha situado entre las más firmes pormesas de la literatura internacional.	/mnt/datadrive/CasaDelLibro/author_images/7830.webp	7830.0	arundhati roy	arundhati roy	OL104867A	24 November 1961		Arundhati Roy	Indian novelist, essayist, and activist	Roy Arundhati	/mnt/datadrive/OpenLibrary/author_images/OL104867A.jpg	arundhati roy	arundhati roy	6
DIEGO G MALDONADO	{'9786073178204'}	TKKMLTNT	diego g maldonado							OL10500643A			Diego G. Maldonado		Diego G. Maldonado	/mnt/datadrive/OpenLibrary/author_images/OL10500643A.jpg	diego g. maldonado	diego g maldonado	2
SIBYLLE BIRKHAUSER-OERI	{'9788475069319'}	PRKSRRSPL	sibylle birkhauser-oeri							OL10501011A			Sibylle Birkhäuser-Oeri		Sibylle Birkhäuser-Oeri	/mnt/datadrive/OpenLibrary/author_images/OL10501011A.jpg	sibylle birkhauser-oeri	birkhauser-oeri sibylle	2
FEDERICO VEGAS	{'000078', '9789803543389', '9789803543778', '9789807312356', '7591524008540', '9789806993563', '000079'}	FTRKFKS	federico vegas							OL1050715A			Federico Vegas		Federico Vegas	/mnt/datadrive/OpenLibrary/author_images/OL1050715A.jpg	federico vegas	federico vegas	2
JAVIER MARIAS	{'7591524015791', '7591524013803', '9788420460840'}	JFRMRS	javier marias	Javier Marías	Javier Marías (Madrid, 1951-2022) fue autor de dieciséis novelas, entre ellas Los dominios del lobo, El hombre sentimental (Premio Ennio Flaiano), Todas las almas (Premio Ciudad de Barcelona), Corazón tan blanco (Premio de la Crítica, IMPAC Dublin Literary Award, Prix l'Oeil et la Lettre), Mañana en la batalla piensa en mí (Premio Rómulo Gallegos, Prix Femina Étranger, Premio Mondello, Premio Fastenrath), Negra espalda del tiempo, los tres volúmenes de Tu rostro mañana (Fiebre y lanza, Baile y sueño y Veneno y sombra y adiós), Los enamoramientos (Premio Tomasi di Lampedusa, Mejor Libro del Año en Babelia, Premio Qué Leer), Así empieza lo malo (Mejor Libro del Año en Babelia), Berta Isla (Premio de la Crítica, Premio Dulce Chacón, Mejor Libro del Año en Babelia, en Corriere della Sera y en Público de Portugal) y Tomás Nevinson (Premio Gregor von Rezzori - Ciudad de Florencia); de las semblanzas Vidas escritas; de los relatos reunidos en Mala índole y la antología Cuentos únicos; homenajes a Cervantes, Faulkner y Nabokov, y veinte colecciones de artículos y ensayos. En 1997 recibió el Premio Nelly Sachs; en 1998 el Premio Comunidad de Madrid; en 2000 los Premios Grinzane Cavour y Alberto Moravia; en 2008 los Premios Alessio y José Donoso; en 2010 The America Award; en 2011 el Premio Nonino y el Premio de Literatura Europea de Austria; en 2012 el Premio Terenci Moix; en 2013 el Premio Formentor; en 2015 el Premio Bottari Lattes Grinzane; y en 2017 el Premio Liber, todos ellos por el conjunto de su obra. En 2016 fue nombrado Literary Lion por la Biblioteca Pública de Nueva York. Entre sus traducciones destaca Tristram Shandy (Premio Nacional de Traducción 1979). Fue profesor en la Universidad de Oxford y en la Complutense de Madrid. Sus obras se han publicado en cuarenta y seis lenguas y en cincuenta y nueve países, con casi nueve millones de ejemplares vendidos. Era miembro de la Real Academia Española y en 2021 fue elegido miembro internacional de la Royal Society of Literature (RSL), la organización benéfica del Reino Unido para la promoción de la literatura.	/mnt/datadrive/CasaDelLibro/author_images/14787-1.webp	14787.0	javier marias	javier marias	OL10514933A			Javier Marías		Javier Marías	/mnt/datadrive/OpenLibrary/author_images/OL10514933A.jpg	javier marias	javier marias	5
		ARNLKLF								OL10519498A			Irene Oliva Luque		Irene Oliva Luque	/mnt/datadrive/OpenLibrary/author_images/OL10519498A.jpg	irene oliva luque	irene luque oliva	1
LEONORA CARRINGTON	{'9788488730725', '9786071612182', '9788489846234'}	KRNKTNLNR	leonora carrington							OL10522527A			Leonora Carrington		Leonora Carrington	/mnt/datadrive/OpenLibrary/author_images/OL10522527A.jpg	leonora carrington	carrington leonora	2
DELPHINE DE VIGAN	{'9788433981264', '9788433980830'}	TTLFNFKN	delphine de vigan	Delphine de Vigan	"Delphine de Vigan (Boulogne-Billancourt, 1966) vive en París. En Anagrama ha publicado Días sin hambre: «Maneja la materia autobiográfica con una contención que remite a Marguerite Duras» (Marta Sanz, Mercurio); «Merece la pena leerlo porque hay en él pasajes emocionantes y también una buena cantidad de información valiosa. Una aproximación reveladora» (Pablo Martínez Zarracina, El Correo Español); Nada se opone a la noche, que la consagró internacionalmente, ha vendido en Francia más de ochocientos mil ejemplares, ha sido publicada por una veintena de editoriales extranjeras y ha recibido el Premio de Novela Fnac, el Premio de Novela de las Televisiones Francesas, el Premio Renaudot de los Institutos de Francia, el Gran Premio de la Heroína Madame Figaro y el Gran Premio de las Lectoras de Elle: «Este magnífico testimonio la confirma escritora contemporánea de referencia. Imprescindible» (Sònia Hernández, La Vanguardia); «Con sobriedad y precisión, sin sentimentalismo (pero no sin sentimiento), Delphine de Vigan firma una inteligente, magnífica e implacable novela» (Elvira Navarro, Letras Libres); y Basada en hechos reales, galardonada con el Premio Renaudot y el Goncourt de los Estudiantes, y llevada al cine por Roman Polanski: «Una novela aterradora… Indispensable libro, con una autoridad moral infinita» (Ángeles López, La Razón); «Hace alarde de maestría expresiva para disolver los límites de lo que es verdad y lo que es mentira… Apasiona ver hasta dónde lleva De Vigan su experimento de narradora que se autocuestiona» (Robert Saladrigas, La Vanguardia), y su más reciente novela  Las lealtades.

Fotografía © Benjamin Chelly."	/mnt/datadrive/CasaDelLibro/author_images/137715.webp	137715.0	delphine de vigan	de delphine vigan	OL10598295A			Delphine de Vigan		Delphine de Vigan	/mnt/datadrive/OpenLibrary/author_images/OL10598295A.jpg	delphine de vigan	de delphine vigan	5
A F STEADMAN	{'9788418797989', '9788418797101'}	AFSTTMN	a f steadman	A. F. STEADMAN	A.F. Steadman se crió en la zona rural de Kent. De niña le encantaba inventar mundos de fantasía y garabatear historias en sus cuadernos. Antes de centrarse en la escritura, trabajó en el ámbito del Derecho, hasta que se dio cuenta de que no era tan mágico como esperaba.	/mnt/datadrive/CasaDelLibro/author_images/AFSteadman.webp	20115903.0	a. f. steadman	a f steadman	OL10599244A			A.F. Steadman		A.F. Steadman	/mnt/datadrive/OpenLibrary/author_images/OL10599244A.jpg	a.f. steadman	a f steadman	5
		HTLKMRTSNXS								OL10602813A			Marta Sánchez Hidalgo		Marta Sánchez Hidalgo	/mnt/datadrive/OpenLibrary/author_images/OL10602813A.jpg	marta sanchez hidalgo	hidalgo marta sanchez	1
JOSE URRIOLA	{'9789802573592', '9789807643078'}	HSRL	jose urriola							OL10647974A	1971		José Urriola		José Urriola	/mnt/datadrive/OpenLibrary/author_images/OL10647974A.jpg	jose urriola	jose urriola	2
		FRNSSKLFSTF								OL10652006A			Francisco Oliva-Esteve		Francisco Oliva-Esteve	/mnt/datadrive/OpenLibrary/author_images/OL10652006A.jpg	francisco oliva-esteve	francisco oliva-esteve	1
		APNPRJKT								OL10652080A			Open Project		Open Project	/mnt/datadrive/OpenLibrary/author_images/OL10652080A.jpg	open project	open project	1
ALVARO D MARCO	{'9781078198868'}	ALFRTMRK	alvaro d marco							OL10670817A			Alvaro D'Marco		Alvaro D'Marco	/mnt/datadrive/OpenLibrary/author_images/OL10670817A.jpg	alvaro d'marco	alvaro d'marco	2
		JMRRPRS								OL10712812A			Gemma Pérez Herrero		Gemma Pérez Herrero	/mnt/datadrive/OpenLibrary/author_images/OL10712812A.jpg	gemma perez herrero	gemma herrero perez	1
		MSRSR								OL10712813A			Roser Macia		Roser Macia	/mnt/datadrive/OpenLibrary/author_images/OL10712813A.jpg	roser macia	macia roser	1
JEAN LECOINTRE	{'9788493991241'}	JNLKNTR	jean lecointre	JEAN LECOINTRE			20085683.0	jean lecointre	jean lecointre	OL10714210A			Jean Lacointre		Jean Lacointre	/mnt/datadrive/OpenLibrary/author_images/OL10714210A.jpg	jean lacointre	jean lacointre	3
RAMON MARQUES	{'9788486668730', '9788486668358'}	MRKSRMN	ramon marques	RAMON MARQUES			50417.0	ramon marques	marques ramon	OL10720249A			MARQUES RAMON		MARQUES RAMON	/mnt/datadrive/OpenLibrary/author_images/OL10720249A.jpg	marques ramon	marques ramon	3
CHARLES BAUDELAIRE	{'9788420652788', '9789806741980', '9788497649148'}	PTLRXRLS	charles baudelaire	Charles Baudelaire	Charles Baudelaire (París, 1821-1867) Poeta y crítico francés, principal representante de la escuela simbolista. Su primer éxito literario llegó en 1848, cuando aparecieron sus traducciones del escritor estadounidense Edgar Allan Poe. Animado por los resultados e inspirado por el entusiasmo que en él suscitó la obra de Poe, a quien le unía una fuerte afinidad, Baudelaire continuó traduciendo sus relatos hasta 1857. Ese mismo año vio la luz la principal obra de Baudelaire, Las flores del mal. Inmediatamente después de su publicación, el gobierno francés acusó a Baudelaire de atentar contra la moral pública. A pesar de que la élite literaria francesa salió en defensa del poeta, Baudelaire fue multado y seis de los poemas contenidos en este libro desaparecieron en las ediciones posteriores. La censura no se levantó hasta 1949. Sus poemas hablan del eterno conflicto entre lo ideal y lo sensual, entre el spleen y el placer. En ellos están presentes todas las experiencias humanas, desde las más sublimes hasta las más sórdidas.	/mnt/datadrive/CasaDelLibro/author_images/2193.webp	2193.0	charles baudelaire	baudelaire charles	OL10751287A			Charles Baudelaire		Charles Baudelaire	/mnt/datadrive/OpenLibrary/author_images/OL10751287A.jpg	charles baudelaire	baudelaire charles	5
VICTOR HUGO	{'9788476518533', '9788426390912', '9788491051121'}	HKFKTR	victor hugo	Victor Hugo	Besançon, (1802-1885). Víctor Hugo fue considerado el principal representante del romanticismo. Virtuoso de la escritura desde su infancia, Víctor Hugo proclamó el principio de la «libertad en el arte», y definió su tiempo a partir del conflicto entre la tendencia espiritual y el apresamiento en lo carnal del hombre. A lo largo de muchos años, compaginó su brillante producción literaria con su exitosa carrera política, por lo que se convirtió en uno de los personajes de mayor relevancia pública de su época en Francia. Considerado como uno de los mayores poetas franceses, su influencia posterior sobre Baudelaire, Rimbaud, e incluso Mallarmé y los surrealistas es innegable.	/mnt/datadrive/CasaDelLibro/author_images/hugo_foto0.webp	253.0	victor hugo	hugo victor	OL107571A	26 February 1802	22 May 1885	Victor Hugo	"Victor-Marie Hugo was a French poet, playwright, novelist, essayist, visual artist, statesman, human rights activist and exponent of the Romantic movement in France.

In France, Hugo's literary fame comes first from his poetry but also rests upon his novels and his dramatic achievements. Among many volumes of poetry, Les Contemplations and La Légende des siècles stand particularly high in critical esteem, and Hugo is sometimes identified as the greatest French poet. Outside France, his best-known works are the novels Les Misérables and Notre-Dame de Paris (known in English also as The Hunchback of Notre-Dame).

Though a committed conservative royalist when he was young, Hugo grew more liberal as the decades passed; he became a passionate supporter of republicanism, and his work touches upon most of the political and social issues and artistic trends of his time. He is buried in the Panthéon.

([Source][1])


  [1]: http://en.wikipedia.org/wiki/Victor_Hugo"	Victor Marie Hugo	/mnt/datadrive/OpenLibrary/author_images/OL107571A.jpg	victor hugo	hugo victor	6
		ARMRRPRT								OL10768366A			Roberto R. Aramayo		Roberto R. Aramayo	/mnt/datadrive/OpenLibrary/author_images/OL10768366A.jpg	roberto r. aramayo	aramayo r roberto	1
HOWARD FAST	{'0395281601'}	FSTRT	howard fast							OL108022A	November 11, 1914	March 12, 2003	Howard Fast	Howard Melvin Fast was an American novelist and television writer.	Howard Fast	/mnt/datadrive/OpenLibrary/author_images/OL108022A.jpg	howard fast	fast howard	3
		AKRKRSRLS								OL10812032A			Luisa Aguirre Cárcer		Luisa Aguirre Cárcer	/mnt/datadrive/OpenLibrary/author_images/OL10812032A.jpg	luisa aguirre carcer	aguirre carcer luisa	1
		TSNSJ								OL10812033A			J. Ignacio Díez		J. Ignacio Díez	/mnt/datadrive/OpenLibrary/author_images/OL10812033A.jpg	j. ignacio diez	diez ignacio j	1
FERNANDO SIMONOTTI	{'9789871217540'}	FRNNTSMNT	fernando simonotti							OL10824509A			Fernando Simonotti		Fernando Simonotti	/mnt/datadrive/OpenLibrary/author_images/OL10824509A.jpg	fernando simonotti	fernando simonotti	2
PABLO NERUDA	{'9786074003697', '9789807259101', '9786075575605', '8432203424', '9789584291233', '843223270', '842260518'}	NRTPPL	pablo neruda	Pablo Neruda	"Pablo Neruda, nacido y muerto en Chile ha sido sin duda una de las voces más altas de la poesía mundial de nuestro tiempo. Desde el combate directo o desde  la persecución y el exilio valerosamente arrostrados, la trayectoria del poeta, que en 1971 obtuvo el Premio Nobel, configura, a la vez que la evoluciónde un intelectual militante, una de las principales aventuras expresivas de la lírica en lengua castellana, sustentada en un poderío verbal inigualable, que de la indiscriminada inmersión en el mundo de las fuerzas telúricas originarias se expandió a la fusión con el ámbito natal americano y supo cantar el instante amoroso que contiene el cosmos, el tiempo oscuro de la opresión y el tiempo encendido de la lucha. Una mirada que abarca a la vez la vastedad de los seres y el abismo interior del lenguaje: poeta total, Neruda pertenece ya a la tradición más viva de nuestra mayor poesía.
Fotografía: © Sara Facio"	/mnt/datadrive/CasaDelLibro/author_images/64599.webp	64599.0	pablo neruda	neruda pablo	OL10826079A			Pablo Neruda		Pablo Neruda	/mnt/datadrive/OpenLibrary/author_images/OL10826079A.jpg	pablo neruda	neruda pablo	5
